% 1. Title: Simple NERD selector 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 16-01-2018 01:00:55 
%
@RELATION @NERD_Simple_NERD_selector 
@attribute nerd_score REAL
@attribute prob_anchor_string REAL
@attribute dice REAL
@attribute tf_idf REAL
@attribute nb_tokens NUMERIC
@attribute inContext {false, true}
@attribute isNe {false, true}
@attribute entity? REAL

@data

7.274491561439222E-12,5.610893580051765E-4,1.965068318794507E-5,0.0,1,false,false,0.0
0.95,0.90625,0.07910893188032843,0.0,3,true,true,1.0
7.274491561439222E-12,9.805898334883034E-4,7.383205988802457E-6,0.0,1,false,false,0.0
1.0,0.25422557118661643,1.0777552388222045E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.001837037037037037,1.1656998610021409E-4,0.0,1,false,false,0.0
7.274491561439222E-12,0.013324450366422385,6.575991990303779E-4,0.0,1,false,true,1.0
7.274491561439222E-12,0.002252833238748732,1.5122389030714886E-5,0.0,1,false,false,0.0
0.95,0.7239583333333334,1.0,0.0,3,true,false,1.0
0.95,0.07142857142857142,0.0011023111667980167,0.0,3,true,false,0.0
1.0,0.4199134199134199,0.1389342141965327,0.0,3,false,true,1.0
7.274491561439222E-12,0.4199134199134199,0.1389342141965327,0.0,3,false,true,0.0
1.0,0.5454545454545454,1.0,0.0,3,true,false,1.0
7.274491561439222E-12,7.66093355488897E-4,2.1659246008633414E-5,0.0,1,false,false,0.0
7.274491561439222E-12,0.11081794195250659,0.03764698991509617,0.0,3,false,false,1.0
7.274491561439222E-12,0.11081794195250659,0.03764698991509617,0.0,3,false,false,0.0
1.0,0.8260869565217391,0.11773642917137465,0.0,3,true,true,1.0
7.274491561439222E-12,0.003919053726663816,9.398622408567985E-5,0.0,1,false,false,0.0
7.274491561439222E-12,0.013324450366422385,6.575991990303779E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.0010737297323700295,2.4130506592472465E-6,0.0,1,false,false,0.0
1.0,0.010869565217391304,0.00136250223535523,0.0,7,true,false,1.0
0.95,0.546031746031746,0.07031120238802967,0.0,5,false,true,0.0
1.0,0.9234449760765551,0.5101336604730694,0.0,3,true,false,1.0
7.274491561439222E-12,0.03482142857142857,0.008443091957015132,0.0,1,false,false,0.0
1.0,0.3229901269393512,0.9302169152209043,0.0,3,false,false,1.0
7.274491561439222E-12,0.3229901269393512,0.9302169152209043,0.0,3,false,false,0.0
1.0,0.13589100035855145,0.47800811633758034,0.0,3,false,false,1.0
7.274491561439222E-12,0.13589100035855145,0.47800811633758034,0.0,3,false,false,0.0
1.0,0.06512722788925009,2.4886307276267077E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.06512722788925009,2.4886307276267077E-4,0.0,1,false,false,0.0
1.0,0.775939331265081,0.19825590092310838,0.0,3,false,true,1.0
1.0,0.0,0.04238383038018905,0.0,1,true,true,0.0
7.274491561439222E-12,0.14526132980482964,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.14526132980482964,1.0,0.0,3,false,false,0.0
1.0,0.8260869565217391,0.11773642917137465,0.0,3,true,false,1.0
7.274491561439222E-12,0.038809633379352663,1.4075016734260598E-4,0.0,1,false,true,0.0
1.0,0.2653061224489796,0.0967532485674768,0.0,3,false,false,1.0
1.0,0.5454545454545454,1.0,0.0,3,true,false,0.0
7.274491561439222E-12,0.03821206993795826,2.5031700726488174E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.03821206993795826,2.5031700726488174E-4,0.0,1,false,false,0.0
1.0,0.08592321755027423,1.0,0.0,5,false,false,1.0
7.274491561439222E-12,0.08592321755027423,1.0,0.0,5,false,false,0.0
7.274491561439222E-12,0.03821206993795826,2.5031700726488174E-4,0.0,1,false,true,1.0
7.274491561439222E-12,0.03821206993795826,2.5031700726488174E-4,0.0,1,false,true,0.0
1.0,0.4666666666666667,1.0,0.0,3,true,true,1.0
7.274491561439222E-12,0.038809633379352663,1.4075016734260598E-4,0.0,1,false,true,0.0
1.0,0.4666666666666667,1.0,0.0,3,true,false,1.0
7.274491561439222E-12,9.335056728421657E-5,2.38708383212105E-5,0.0,1,false,false,0.0
0.95,0.90625,0.07910893188032843,0.0,3,true,false,1.0
7.274491561439222E-12,0.10273972602739725,0.7400586439465973,0.0,3,false,false,0.0
1.0,0.775939331265081,0.19825590092310838,0.0,3,false,false,1.0
7.274491561439222E-12,1.9224607497596923E-4,6.161158645524216E-5,0.0,1,false,false,0.0
1.0,0.5454545454545454,1.0,0.0,3,true,true,1.0
7.274491561439222E-12,0.004676370393310623,1.2500362132648134E-4,0.0,1,false,false,0.0
1.0,0.5761904761904761,0.006077165275374449,0.0,1,false,false,1.0
7.274491561439222E-12,0.5761904761904761,0.006077165275374449,0.0,1,false,false,0.0
1.0,0.5,0.6020599913279624,0.0,3,true,false,1.0
7.274491561439222E-12,0.12769431743958198,6.259077695297907E-4,0.0,1,false,false,0.0
1.0,0.8571428571428571,1.0,0.0,3,true,false,1.0
1.0,0.24761904761904763,0.009347363201407869,0.0,1,true,false,0.0
1.0,0.7425394967817437,0.0014213320479835308,0.0,1,true,false,1.0
3.486848642325683E-4,0.0021629935831190368,4.7705067022984E-5,0.0,1,false,false,0.0
1.0,0.7641509433962265,0.4263015511611524,0.0,3,true,false,1.0
1.0,0.6666666666666666,0.011095843133015405,0.0,3,true,false,0.0
1.0,0.8125,1.0,0.0,3,true,false,1.0
7.274491561439222E-12,0.0026789284286285486,3.061068836114011E-5,0.0,1,false,false,0.0
0.9999999848372787,0.25243605359317906,1.448024692216079E-4,0.0,1,true,false,1.0
0.9999999848372787,0.0028742239595309265,4.1443531609454165E-4,0.0,1,true,false,0.0
1.0,0.8054054054054054,0.011144535264244046,0.0,1,true,false,1.0
7.274491561439222E-12,2.624212736179146E-4,1.0095042355335713E-4,0.0,1,false,false,0.0
1.0,0.6666666666666666,0.036193081413192725,0.0,3,true,false,1.0
7.274491561439222E-12,0.0015165684332279221,3.2471514354703342E-6,0.0,1,false,false,0.0
1.0,0.03620470472047993,3.3556043761173926E-5,0.0,1,true,false,1.0
0.9999999848372787,0.1537992395485574,7.847466187559387E-6,0.0,1,true,false,0.0
1.0,0.3122081387591728,5.125503598564662E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.3122081387591728,5.125503598564662E-4,0.0,1,false,false,0.0
1.0,0.6896551724137931,0.0373511971928679,0.0,1,false,false,1.0
7.274491561439222E-12,0.003432494279176201,9.342749214021445E-4,0.0,1,false,false,0.0
1.0,0.75,0.018668526862882555,0.0,3,true,false,1.0
1.0,0.24761904761904763,0.009347363201407869,0.0,1,true,false,0.0
1.0,0.8622047244094488,0.00641177987524624,0.0,1,true,false,1.0
7.274491561439222E-12,0.0017240365245776294,1.0941190393725292E-5,0.0,1,false,false,0.0
1.0,0.5,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.033351862145636464,3.240697843324894E-4,0.0,1,false,false,0.0
1.0,0.5384615384615384,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.007534246575342466,3.1991485498356867E-4,0.0,1,false,false,0.0
1.0,0.75,1.0,0.0,3,false,false,1.0
1.0,0.24761904761904763,0.009347363201407869,0.0,1,true,false,0.0
1.0,0.8,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.182648401826484,0.005044279126454589,0.0,1,false,false,0.0
1.0,0.5,0.6020599913279624,0.0,3,false,false,1.0
7.274491561439222E-12,0.018425460636515914,0.0032155432983228083,0.0,1,false,false,0.0
1.0,0.6,0.20448053773699817,0.0,3,false,false,1.0
7.274491561439222E-12,0.004784868088610517,1.970161570453189E-5,0.0,1,false,false,0.0
1.0,0.5,1.0,0.0,3,true,false,1.0
7.274491561439222E-12,0.09024260197280726,2.658584812136247E-4,0.0,1,false,true,0.0
1.0,0.7777777777777778,0.1,0.0,1,false,false,1.0
7.274491561439222E-12,9.205886954114971E-4,6.32580985452312E-5,0.0,1,false,false,0.0
1.0,1.0,0.6020599913279624,0.0,4,true,false,1.0
7.274491561439222E-12,0.048797736916548796,0.0040448475271905,0.0,1,false,false,0.0
1.0,0.5,0.9030899869919435,0.0,5,false,false,1.0
0.9999999848372787,0.1537992395485574,7.847466187559387E-6,0.0,1,true,false,0.0
1.0,0.5,1.0,0.0,3,false,false,1.0
7.274491561439222E-12,0.3220793747433701,2.4262159606499108E-5,0.0,1,false,false,0.0
1.0,0.569402228976697,7.169298576118743E-4,0.0,1,false,false,1.0
1.0,0.4805194805194805,0.013120287772813377,0.0,1,true,false,0.0
1.0,0.6666666666666666,0.572545505663595,0.0,3,false,false,1.0
7.274491561439222E-12,0.0017370438021560833,6.563081028956906E-5,0.0,1,false,false,0.0
1.0,0.36666666666666664,0.03798763850185085,0.0,1,false,false,1.0
1.0,0.36666666666666664,0.03798763850185085,0.0,1,false,false,0.0
1.0,0.6,0.06078000037704512,0.0,3,false,false,1.0
7.274491561439222E-12,0.0,0.1296918750639406,0.0,1,false,false,0.0
1.0,0.5,0.9542425094393249,0.0,3,false,false,1.0
0.9999999848372787,0.15789473684210525,0.011058187117780567,0.0,1,true,false,0.0
1.0,0.40451630889322554,4.357416474623181E-4,0.0,1,false,false,1.0
7.274491561439222E-12,0.40451630889322554,4.357416474623181E-4,0.0,1,false,false,0.0
1.0,0.6666666666666666,0.01233934279447403,0.0,3,false,false,1.0
7.274491561439222E-12,0.004406605630187388,1.6014361972067703E-4,0.0,1,false,false,0.0
